class,tweet
1,"""@Migsmichelen: This new twitter is confusing the shit out of me."" Go back to south america bitch"
1,#Lingo so A1 niccas be Tryn talk like me
1,"""I dont even need a picture of tamar, that bitch is beat in every picture""&#128514;&#128557;&#128514;&#128514;&#128514;"
1,"""@Poetic_Success: I hate when strippers tell you they're ""dancers"". Hoe, ballet dancers don't pop their pussy to Beethoven. You a STRIPPER!"""
1,#BestSongToHaveSexTo bitches love sosa #bangbang
1,"""@VineForTheByrd: On my way to fuck your bitch https://t.co/4lMTFNL2iy""

LMFAO KITTYCOPTER"
1,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Hairy | hairy pussy http://t.co/Ntg2b0qDmx"
1,"""@TheOneMiss_Luu: Would you still love me when I'm no longer young and beautiful?"" No. Ugly monkey ass."
1,"""Niggas be pressed for pussy, Eeeeeen nothin"""
1,"""Why u being such a little bitch chris you ain't six bitch"" - Allisons Mom"
1,"""If you love her then hide yo bitch so you'll keep shorty.""
505,1,""If you talk back to me you ain't getting no pussy."""""
1,"""@HornyFacts: Being single isn't an excuse to be a hoe."" @TheOneMiss_Luu"
2,#RuinAComedian @midnight Charlie Lapdance
1,"""She gotta shape up her pussy lips tho @PostPrettyPussy: Whole wheat organic pussy http://t.co/kq0R0A7z2g"""
1,"""Hey pussy you still there?"""
2,"""@KeyshawnSwag: Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?"
1,"""@molssyo: Lifes a bitch, and then you die Thats why we get high, cause you neva know when you're gonna go"" my sister is perfect (:"
0,"""Our people"". Now is the time for the Aryan race 2 stand up and say ""no more"". Before the mongerls turn the world into a ghetto slum. 1488"
0,&#128514; RT @TheOnlyReed: LMFAO RT @Tone314: If you watching porn &amp; beating off &amp; yo homie text u &amp; it show his name in the banner you're a faggot
1,"""@Bill215_: &#128175;&#128175;&#128175; RT @nel_ayden Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches.."
2,#Yankees #SEC Robertson in. Guy is fantastic. SEC pitcher!!
1,"""I don't love these hoes, baby It's me and you forever"""
1,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #CreamPie | Young Japanese girl&#8217;s hairy cunt cre http://t.co/l46q7MoGGr"
0,#Iowa is full of white trash
1,"""Batter the wee cunt Jewis"" y cos he fucked my ex? Emma isnt battering the girls I've nailed?Ive moved on,stop being a pussy n do it urself."
1,""" lames crying over hoes thats tears of a clown """
1,""" bitch plz whatever """
1,#Shoutout to my exit 47 niccas! #RealNiccaSalute
1,"""Ain't that about a bitch""... What does that mean?"
2,"""@Yankees: Down 6-1, #Yankees look to rally in the bottom of the 9th."" #RALLYCAP"
1,"""@ThatniggaTroy: Oomf so fuckin fine tho &#128553; dam"" @ her, don't be no bitch."
1,"""@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes"
1,"""When im done with a hoe i pass her to the squad"" G!!!!!!!!!!!!!!!!!!!!!!!!"
1,"""@HaloTGMG: @1stName_Bravo nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao"
1,"""@CauseWereGuys: Going back to school sucks more dick than the hoes who attend it."""
1,"""@JAYten9: In every cartoon theirs alway a @_nuffsaid15 saving these hoes lmao. http://t.co/9uKD8wtZ6x"" lmao damn captain SaveAHoe"
1,"""It's never too late to tag a bitch.""- @CyFyre"
1,"""@TheGamerKingKev: I wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter"" she probly sends nudes for fags"
1,"""@ProdsJewel_: &#8220;@sreadthepeace: &#8220;@yungmindless: @PeacePunkPrince Prince, THIS is art. http://t.co/EPHRWxMBHr&#8221; nobody takin his bitch!"
1,"""Walked in that bitch like, NIGGA WE MADE IT!"""
1,"""@CoryBandz: having one loyal female is wayyyyy better than having hoes , idc &#128175;"""
1,#Shoutout to everybody that follow a nicca!!
1,"""@angelenagoley: 10 sex positions http://t.co/nt3PABMWsm http://t.co/JmHZ8Sczf0""naw this what u call fucking the soul outta bitch &#128557;"
1,"""You can take someone out of the ghetto, but you can't take the ghetto out of them."""
1,""" we dont trust these niggas all these bitches """
1,"""Bleed out hoe!!!"" -Alexa"
2,#Yankees Damn. Well Joe that move to the bullpen really helped.
1,"""@GTM_Al: Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#128514;&#128514;&#128514;&#128514;"
0,"""You ain't gunna do shit spear chucker"""
1,"#IfThePurgeWasReal I'd be the best prostitute and madam EVER. Hey, if you got pussy, you shouldn't be broke, right? LMAO JK"
1,"""Pistol whip my Dickau, shoot yo bitch club up.""
542,1,""RT it for me. Please and thanks @BmorePocahontas: Did a pierced pussy just come across my timeline &#128528;"""""""
1,"""@djsliime: That long distance shit wack I knew the bitch was cheating""- uh oh"
1,&#128514;&#128514;&#128514; nah if you round me you do Molly &#8220;@CallNeeshCakey: Only bitches with no nigga do Mollies...&#8221;
1,"""@ClicquotSuave: LMAOOOOOOOOOOO this nigga @Krillz_Nuh_Care http://t.co/AAnpSUjmYI"" &lt;bitch want likes for some depressing shit..foh"
1,"""Don't make me make you fall in live with a nigga like meee..."" The birds 1&amp;2 are my favorite songs by Weeknd"
1,"""@queendulaaa: Got a couple bitches saying they know me But I&#8217;ma let the money talk for me &#128526;&#128076;"" AND I'M LIKE... #WWYD"
1,"""I know that shit eatin grin! You either just fucked the girl of your dreams or you sold a car. We know you're a faggot. What'd you sell?""&#128514;"
1,"""@Jewelxo: Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" @Pornhub get on it Katie&lt;3"
1,#BangBangBirdGang ya bitch you!!! 56 -fruit loop
2,#2013Faves RT &#8220;@grahamorama: #Snoop and #Justin are having so much fun at this Charlie Wilson tribute #BETAwards https://t.co/C6NHwUBlXN&#8221;
1,"""I'm probably your main bitch chocolate dipped cinnamon apple"""
2,"""I found a new way to chug you have to open your mouth alot"" #shitallysays"
1,"""@witmyRUDEass: When a bitch don't want a real job they just become strippers lol"" lol."
1,"""That girl is plain looking borderline ugly &amp; chunky"". Hey at least she's got a nice smile &amp; a great personality."
2,#iubb #1 suiting up again tonight! #Indiana #IU #ncaa #hoosierdaddy #HoosierNation #hoosiers
1,"""@BrosConfessions: This bitch was so ungrateful http://t.co/06e77bGwbx"" fr ..... LULWHORE"
1,&#128064; bitches giving back rubs ?
1,"""riding with my bros still don't trust these hoes"""
1,"""I dont have hoes"" &#128564;"
1,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Lesbian | Lesbian girl eating pussy http://t.co/Ht9szL3b24"
1,"""@PoemsPorn: Quote this tweet with your favorite animal.""pussy"
